original,filename,size,path,width,height,alt,file_size_kb
2025_ PVCH_ FALL MERCH-101.jpg,outdoor-lifestyle-waterfront-ponte-vedra-florida-400w.webp,thumb,outdoor-lifestyle-waterfront-ponte-vedra-florida-400w.webp,400,500,"Fall Merch displays outdoor brand sticker featuring heron logo near waterfront at Concert Hall in Ponte Vedra, Florida",21.8
2025_ PVCH_ FALL MERCH-110.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-1920w.webp,large,outdoor-lifestyle-boating-ponte-vedra-florida-1920w.webp,1920,2400,"Fall Merch wearing branded sweatshirt on boat during golden hour at Concert Hall in Ponte Vedra, Florida",441.0
2025_ PVCH_ FALL MERCH-110.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-1200w.webp,medium,outdoor-lifestyle-boating-ponte-vedra-florida-1200w.webp,1200,1500,"Fall Merch wearing branded sweatshirt on boat during golden hour at Concert Hall in Ponte Vedra, Florida",172.1
2025_ PVCH_ FALL MERCH-110.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-400w.webp,thumb,outdoor-lifestyle-boating-ponte-vedra-florida-400w.webp,400,500,"Fall Merch wearing branded sweatshirt on boat during golden hour at Concert Hall in Ponte Vedra, Florida",21.6
2025_ PVCH_ FALL MERCH-112.jpg,outdoor-lifestyle-dock-ponte-vedra-florida-1920w.webp,large,outdoor-lifestyle-dock-ponte-vedra-florida-1920w.webp,1920,2880,"Fall Merch stands on waterfront dock wearing camouflage pants and sunglasses at Concert Hall in Ponte Vedra, Florida",506.7
2025_ PVCH_ FALL MERCH-112.jpg,outdoor-lifestyle-dock-ponte-vedra-florida-1200w.webp,medium,outdoor-lifestyle-dock-ponte-vedra-florida-1200w.webp,1200,1800,"Fall Merch stands on waterfront dock wearing camouflage pants and sunglasses at Concert Hall in Ponte Vedra, Florida",191.7
2025_ PVCH_ FALL MERCH-112.jpg,outdoor-lifestyle-dock-ponte-vedra-florida-400w.webp,thumb,outdoor-lifestyle-dock-ponte-vedra-florida-400w.webp,400,600,"Fall Merch stands on waterfront dock wearing camouflage pants and sunglasses at Concert Hall in Ponte Vedra, Florida",22.6
2025_ PVCH_ FALL MERCH-117.jpg,outdoor-lifestyle-dock-ponte-vedra-florida-2-1920w.webp,large,outdoor-lifestyle-dock-ponte-vedra-florida-2-1920w.webp,1920,2400,"Fall Merch white flag with seashell design displayed on waterfront dock at Concert Hall in Ponte Vedra, Florida",409.6
2025_ PVCH_ FALL MERCH-117.jpg,outdoor-lifestyle-dock-ponte-vedra-florida-2-1200w.webp,medium,outdoor-lifestyle-dock-ponte-vedra-florida-2-1200w.webp,1200,1500,"Fall Merch white flag with seashell design displayed on waterfront dock at Concert Hall in Ponte Vedra, Florida",160.9
2025_ PVCH_ FALL MERCH-117.jpg,outdoor-lifestyle-dock-ponte-vedra-florida-2-400w.webp,thumb,outdoor-lifestyle-dock-ponte-vedra-florida-2-400w.webp,400,500,"Fall Merch white flag with seashell design displayed on waterfront dock at Concert Hall in Ponte Vedra, Florida",23.1
2025_ PVCH_ FALL MERCH-129.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-2-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-2-1920w.webp,1920,2880,"Fall Merch fishing on boat wearing branded outdoor lifestyle apparel at Concert Hall in Ponte Vedra, Florida",403.6
2025_ PVCH_ FALL MERCH-129.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-2-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-2-1200w.webp,1200,1800,"Fall Merch fishing on boat wearing branded outdoor lifestyle apparel at Concert Hall in Ponte Vedra, Florida",131.3
2025_ PVCH_ FALL MERCH-129.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-2-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-2-400w.webp,400,600,"Fall Merch fishing on boat wearing branded outdoor lifestyle apparel at Concert Hall in Ponte Vedra, Florida",17.8
2025_ PVCH_ FALL MERCH-133.jpg,outdoor-lifestyle-coffee-ponte-vedra-florida-1920w.webp,large,outdoor-lifestyle-coffee-ponte-vedra-florida-1920w.webp,1920,2880,"Fall Merch pours coffee from thermos while sitting outdoors at Concert Hall in Ponte Vedra, Florida",554.5
2025_ PVCH_ FALL MERCH-133.jpg,outdoor-lifestyle-coffee-ponte-vedra-florida-1200w.webp,medium,outdoor-lifestyle-coffee-ponte-vedra-florida-1200w.webp,1200,1800,"Fall Merch pours coffee from thermos while sitting outdoors at Concert Hall in Ponte Vedra, Florida",193.3
2025_ PVCH_ FALL MERCH-133.jpg,outdoor-lifestyle-coffee-ponte-vedra-florida-400w.webp,thumb,outdoor-lifestyle-coffee-ponte-vedra-florida-400w.webp,400,600,"Fall Merch pours coffee from thermos while sitting outdoors at Concert Hall in Ponte Vedra, Florida",25.5
2025_ PVCH_ FALL MERCH-135.jpg,outdoor-lifestyle-coffee-ponte-vedra-florida-2-1920w.webp,large,outdoor-lifestyle-coffee-ponte-vedra-florida-2-1920w.webp,1920,2399,"Fall Merch coffee mug with outdoor lifestyle branding at Concert Hall in Ponte Vedra, Florida",378.2
2025_ PVCH_ FALL MERCH-135.jpg,outdoor-lifestyle-coffee-ponte-vedra-florida-2-1200w.webp,medium,outdoor-lifestyle-coffee-ponte-vedra-florida-2-1200w.webp,1200,1499,"Fall Merch coffee mug with outdoor lifestyle branding at Concert Hall in Ponte Vedra, Florida",128.9
2025_ PVCH_ FALL MERCH-135.jpg,outdoor-lifestyle-coffee-ponte-vedra-florida-2-400w.webp,thumb,outdoor-lifestyle-coffee-ponte-vedra-florida-2-400w.webp,400,499,"Fall Merch coffee mug with outdoor lifestyle branding at Concert Hall in Ponte Vedra, Florida",14.6
2025_ PVCH_ FALL MERCH-142.jpg,outdoor-lifestyle-ponte-vedra-florida-3-1920w.webp,large,outdoor-lifestyle-ponte-vedra-florida-3-1920w.webp,1920,2880,"Fall Merch in wheelchair holding camera during outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",505.0
2025_ PVCH_ FALL MERCH-142.jpg,outdoor-lifestyle-ponte-vedra-florida-3-1200w.webp,medium,outdoor-lifestyle-ponte-vedra-florida-3-1200w.webp,1200,1800,"Fall Merch in wheelchair holding camera during outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",202.9
2025_ PVCH_ FALL MERCH-142.jpg,outdoor-lifestyle-ponte-vedra-florida-3-400w.webp,thumb,outdoor-lifestyle-ponte-vedra-florida-3-400w.webp,400,600,"Fall Merch in wheelchair holding camera during outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",32.8
2025_ PVCH_ FALL MERCH-17.jpg,outdoor-lifestyle-ponte-vedra-florida-4-1920w.webp,large,outdoor-lifestyle-ponte-vedra-florida-4-1920w.webp,1920,2400,"Fall Merch wearing white t-shirt with bird logo and cap outdoors at Concert Hall in Ponte Vedra, Florida",338.5
2025_ PVCH_ FALL MERCH-17.jpg,outdoor-lifestyle-ponte-vedra-florida-4-1200w.webp,medium,outdoor-lifestyle-ponte-vedra-florida-4-1200w.webp,1200,1500,"Fall Merch wearing white t-shirt with bird logo and cap outdoors at Concert Hall in Ponte Vedra, Florida",99.4
2025_ PVCH_ FALL MERCH-17.jpg,outdoor-lifestyle-ponte-vedra-florida-4-400w.webp,thumb,outdoor-lifestyle-ponte-vedra-florida-4-400w.webp,400,500,"Fall Merch wearing white t-shirt with bird logo and cap outdoors at Concert Hall in Ponte Vedra, Florida",11.8
2025_ PVCH_ FALL MERCH-18.jpg,outdoor-lifestyle-ponte-vedra-florida-5-1920w.webp,large,outdoor-lifestyle-ponte-vedra-florida-5-1920w.webp,1920,2400,"Fall Merch wearing branded hat and concert hall t-shirt in outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",341.0
2025_ PVCH_ FALL MERCH-18.jpg,outdoor-lifestyle-ponte-vedra-florida-5-1200w.webp,medium,outdoor-lifestyle-ponte-vedra-florida-5-1200w.webp,1200,1500,"Fall Merch wearing branded hat and concert hall t-shirt in outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",113.5
2025_ PVCH_ FALL MERCH-18.jpg,outdoor-lifestyle-ponte-vedra-florida-5-400w.webp,thumb,outdoor-lifestyle-ponte-vedra-florida-5-400w.webp,400,500,"Fall Merch wearing branded hat and concert hall t-shirt in outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",12.8
2025_ PVCH_ FALL MERCH-33.jpg,outdoor-lifestyle-dock-ponte-vedra-florida-3-1920w.webp,large,outdoor-lifestyle-dock-ponte-vedra-florida-3-1920w.webp,1920,2400,"Fall Merch in wheelchair holding rope on waterfront dock at Concert Hall in Ponte Vedra, Florida",433.4
2025_ PVCH_ FALL MERCH-33.jpg,outdoor-lifestyle-dock-ponte-vedra-florida-3-1200w.webp,medium,outdoor-lifestyle-dock-ponte-vedra-florida-3-1200w.webp,1200,1500,"Fall Merch in wheelchair holding rope on waterfront dock at Concert Hall in Ponte Vedra, Florida",169.8
2025_ PVCH_ FALL MERCH-33.jpg,outdoor-lifestyle-dock-ponte-vedra-florida-3-400w.webp,thumb,outdoor-lifestyle-dock-ponte-vedra-florida-3-400w.webp,400,500,"Fall Merch in wheelchair holding rope on waterfront dock at Concert Hall in Ponte Vedra, Florida",28.7
2025_ PVCH_ FALL MERCH-35.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-3-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-3-1920w.webp,1920,2400,"Fall Merch carrying fishing gear and net on marina dock at Concert Hall in Ponte Vedra, Florida",426.3
2025_ PVCH_ FALL MERCH-35.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-3-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-3-1200w.webp,1200,1500,"Fall Merch carrying fishing gear and net on marina dock at Concert Hall in Ponte Vedra, Florida",172.2
2025_ PVCH_ FALL MERCH-35.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-3-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-3-400w.webp,400,500,"Fall Merch carrying fishing gear and net on marina dock at Concert Hall in Ponte Vedra, Florida",24.6
2025_ PVCH_ FALL MERCH-36.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-2-1920w.webp,large,outdoor-lifestyle-boating-ponte-vedra-florida-2-1920w.webp,1920,2399,"Fall Merch operating blue boat with outboard motor on water at Concert Hall in Ponte Vedra, Florida",492.7
2025_ PVCH_ FALL MERCH-36.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-2-1200w.webp,medium,outdoor-lifestyle-boating-ponte-vedra-florida-2-1200w.webp,1200,1499,"Fall Merch operating blue boat with outboard motor on water at Concert Hall in Ponte Vedra, Florida",197.7
2025_ PVCH_ FALL MERCH-36.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-2-400w.webp,thumb,outdoor-lifestyle-boating-ponte-vedra-florida-2-400w.webp,400,499,"Fall Merch operating blue boat with outboard motor on water at Concert Hall in Ponte Vedra, Florida",30.2
2025_ PVCH_ FALL MERCH-4.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-4-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-4-1920w.webp,1920,1536,"Fall Merch holding fishing knife outdoors showcasing adventure lifestyle gear at Concert Hall in Ponte Vedra, Florida",202.0
2025_ PVCH_ FALL MERCH-4.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-4-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-4-1200w.webp,1200,960,"Fall Merch holding fishing knife outdoors showcasing adventure lifestyle gear at Concert Hall in Ponte Vedra, Florida",60.1
2025_ PVCH_ FALL MERCH-4.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-4-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-4-400w.webp,400,320,"Fall Merch holding fishing knife outdoors showcasing adventure lifestyle gear at Concert Hall in Ponte Vedra, Florida",9.9
2025_ PVCH_ FALL MERCH-40.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-3-1920w.webp,large,outdoor-lifestyle-boating-ponte-vedra-florida-3-1920w.webp,1920,2400,"Fall Merch members enjoying outdoor lifestyle adventure in blue boat at Concert Hall in Ponte Vedra, Florida",418.2
2025_ PVCH_ FALL MERCH-40.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-3-1200w.webp,medium,outdoor-lifestyle-boating-ponte-vedra-florida-3-1200w.webp,1200,1500,"Fall Merch members enjoying outdoor lifestyle adventure in blue boat at Concert Hall in Ponte Vedra, Florida",164.1
2025_ PVCH_ FALL MERCH-40.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-3-400w.webp,thumb,outdoor-lifestyle-boating-ponte-vedra-florida-3-400w.webp,400,500,"Fall Merch members enjoying outdoor lifestyle adventure in blue boat at Concert Hall in Ponte Vedra, Florida",26.7
2025_ PVCH_ FALL MERCH-47.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-4-1920w.webp,large,outdoor-lifestyle-boating-ponte-vedra-florida-4-1920w.webp,1920,2400,"Fall Merch relaxing on boat during outdoor lifestyle photography session at Concert Hall in Ponte Vedra, Florida",339.2
2025_ PVCH_ FALL MERCH-47.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-4-1200w.webp,medium,outdoor-lifestyle-boating-ponte-vedra-florida-4-1200w.webp,1200,1500,"Fall Merch relaxing on boat during outdoor lifestyle photography session at Concert Hall in Ponte Vedra, Florida",131.5
2025_ PVCH_ FALL MERCH-47.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-4-400w.webp,thumb,outdoor-lifestyle-boating-ponte-vedra-florida-4-400w.webp,400,500,"Fall Merch relaxing on boat during outdoor lifestyle photography session at Concert Hall in Ponte Vedra, Florida",20.3
2025_ PVCH_ FALL MERCH-52.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-5-1920w.webp,large,outdoor-lifestyle-boating-ponte-vedra-florida-5-1920w.webp,1920,2880,"Fall Merch relaxing on boat during outdoor lifestyle photography session at Concert Hall in Ponte Vedra, Florida",468.5
2025_ PVCH_ FALL MERCH-52.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-5-1200w.webp,medium,outdoor-lifestyle-boating-ponte-vedra-florida-5-1200w.webp,1200,1800,"Fall Merch relaxing on boat during outdoor lifestyle photography session at Concert Hall in Ponte Vedra, Florida",178.0
2025_ PVCH_ FALL MERCH-52.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-5-400w.webp,thumb,outdoor-lifestyle-boating-ponte-vedra-florida-5-400w.webp,400,600,"Fall Merch relaxing on boat during outdoor lifestyle photography session at Concert Hall in Ponte Vedra, Florida",25.4
2025_ PVCH_ FALL MERCH-53.jpg,outdoor-lifestyle-canoe-ponte-vedra-florida-1920w.webp,large,outdoor-lifestyle-canoe-ponte-vedra-florida-1920w.webp,1920,1280,"Fall Merch paddling canoe near concrete bridge structure at Concert Hall in Ponte Vedra, Florida",318.7
2025_ PVCH_ FALL MERCH-53.jpg,outdoor-lifestyle-canoe-ponte-vedra-florida-1200w.webp,medium,outdoor-lifestyle-canoe-ponte-vedra-florida-1200w.webp,1200,800,"Fall Merch paddling canoe near concrete bridge structure at Concert Hall in Ponte Vedra, Florida",125.4
2025_ PVCH_ FALL MERCH-53.jpg,outdoor-lifestyle-canoe-ponte-vedra-florida-400w.webp,thumb,outdoor-lifestyle-canoe-ponte-vedra-florida-400w.webp,400,266,"Fall Merch paddling canoe near concrete bridge structure at Concert Hall in Ponte Vedra, Florida",16.9
2025_ PVCH_ FALL MERCH-57.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-5-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-5-1920w.webp,1920,1280,"Two men fishing from boat with rods near dock at Concert Hall in Ponte Vedra, Florida",225.6
2025_ PVCH_ FALL MERCH-57.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-5-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-5-1200w.webp,1200,800,"Two men fishing from boat with rods near dock at Concert Hall in Ponte Vedra, Florida",81.9
2025_ PVCH_ FALL MERCH-57.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-5-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-5-400w.webp,400,266,"Two men fishing from boat with rods near dock at Concert Hall in Ponte Vedra, Florida",13.9
2025_ PVCH_ FALL MERCH-64.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-6-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-6-1920w.webp,1920,1280,"Two anglers fishing from boat dock in marina waters at Concert Hall in Ponte Vedra, Florida",218.5
2025_ PVCH_ FALL MERCH-64.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-6-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-6-1200w.webp,1200,800,"Two anglers fishing from boat dock in marina waters at Concert Hall in Ponte Vedra, Florida",70.8
2025_ PVCH_ FALL MERCH-64.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-6-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-6-400w.webp,400,266,"Two anglers fishing from boat dock in marina waters at Concert Hall in Ponte Vedra, Florida",10.3
2025_ PVCH_ FALL MERCH-65.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-7-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-7-1920w.webp,1920,1280,"Fall Merch using fishing net from boat deck at Concert Hall in Ponte Vedra, Florida",301.4
2025_ PVCH_ FALL MERCH-65.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-7-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-7-1200w.webp,1200,800,"Fall Merch using fishing net from boat deck at Concert Hall in Ponte Vedra, Florida",116.1
2025_ PVCH_ FALL MERCH-65.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-7-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-7-400w.webp,400,266,"Fall Merch using fishing net from boat deck at Concert Hall in Ponte Vedra, Florida",17.1
2025_ PVCH_ FALL MERCH-68.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-8-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-8-1920w.webp,1920,2400,"Smiling fisherman holding large fishing net on boat during outdoor adventure at Concert Hall in Ponte Vedra, Florida",541.7
2025_ PVCH_ FALL MERCH-68.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-8-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-8-1200w.webp,1200,1500,"Smiling fisherman holding large fishing net on boat during outdoor adventure at Concert Hall in Ponte Vedra, Florida",237.8
2025_ PVCH_ FALL MERCH-68.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-8-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-8-400w.webp,400,500,"Smiling fisherman holding large fishing net on boat during outdoor adventure at Concert Hall in Ponte Vedra, Florida",33.7
2025_ PVCH_ FALL MERCH-70.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-9-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-9-1920w.webp,1920,2880,"Fall Merch members preparing fishing equipment on boat deck at Concert Hall in Ponte Vedra, Florida",568.2
2025_ PVCH_ FALL MERCH-70.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-9-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-9-1200w.webp,1200,1800,"Fall Merch members preparing fishing equipment on boat deck at Concert Hall in Ponte Vedra, Florida",219.8
2025_ PVCH_ FALL MERCH-70.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-9-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-9-400w.webp,400,600,"Fall Merch members preparing fishing equipment on boat deck at Concert Hall in Ponte Vedra, Florida",27.0
2025_ PVCH_ FALL MERCH-73.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-10-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-10-1920w.webp,1920,2880,"Fall Merch fishing from boat dock under bridge at Concert Hall in Ponte Vedra, Florida",528.6
2025_ PVCH_ FALL MERCH-73.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-10-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-10-1200w.webp,1200,1800,"Fall Merch fishing from boat dock under bridge at Concert Hall in Ponte Vedra, Florida",207.3
2025_ PVCH_ FALL MERCH-73.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-10-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-10-400w.webp,400,600,"Fall Merch fishing from boat dock under bridge at Concert Hall in Ponte Vedra, Florida",29.0
2025_ PVCH_ FALL MERCH-77.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-6-1920w.webp,large,outdoor-lifestyle-boating-ponte-vedra-florida-6-1920w.webp,1920,2880,"Fall Merch steering boat near bridge during outdoor lifestyle photography session at Concert Hall in Ponte Vedra, Florida",602.3
2025_ PVCH_ FALL MERCH-77.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-6-1200w.webp,medium,outdoor-lifestyle-boating-ponte-vedra-florida-6-1200w.webp,1200,1800,"Fall Merch steering boat near bridge during outdoor lifestyle photography session at Concert Hall in Ponte Vedra, Florida",246.3
2025_ PVCH_ FALL MERCH-77.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-6-400w.webp,thumb,outdoor-lifestyle-boating-ponte-vedra-florida-6-400w.webp,400,600,"Fall Merch steering boat near bridge during outdoor lifestyle photography session at Concert Hall in Ponte Vedra, Florida",33.5
2025_ PVCH_ FALL MERCH-82.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-11-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-11-1920w.webp,1920,2880,"Fall Merch fishing by lighthouse tower during outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",555.2
2025_ PVCH_ FALL MERCH-82.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-11-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-11-1200w.webp,1200,1800,"Fall Merch fishing by lighthouse tower during outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",221.9
2025_ PVCH_ FALL MERCH-82.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-11-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-11-400w.webp,400,600,"Fall Merch fishing by lighthouse tower during outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",28.3
2025_ PVCH_ FALL MERCH-86.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-12-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-12-1920w.webp,1920,2400,"Man in baseball cap examining fishing equipment on boat near wooden pier at Concert Hall in Ponte Vedra, Florida",531.3
2025_ PVCH_ FALL MERCH-86.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-12-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-12-1200w.webp,1200,1500,"Man in baseball cap examining fishing equipment on boat near wooden pier at Concert Hall in Ponte Vedra, Florida",228.7
2025_ PVCH_ FALL MERCH-86.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-12-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-12-400w.webp,400,500,"Man in baseball cap examining fishing equipment on boat near wooden pier at Concert Hall in Ponte Vedra, Florida",32.8
2025_ PVCH_ FALL MERCH-88.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-7-1920w.webp,large,outdoor-lifestyle-boating-ponte-vedra-florida-7-1920w.webp,1920,1280,"Fall Merch operating boat equipment on water during outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",272.2
2025_ PVCH_ FALL MERCH-88.jpg,outdoor-lifestyle-boating-ponte-vedra-florida-7-1200w.webp,medium,outdoor-lifestyle-boating-ponte-vedra-florida-7-1200w.webp,1200,800,"Fall Merch operating boat equipment on water during outdoor lifestyle photography at Concert Hall in Ponte Vedra, Florida",120.4
