original,filename,size,path,width,height,alt,file_size_kb
2026_ FORT MOSE- SAMARA JOY-02.jpg,samara-joy-fort-mose-jazz-festival-performance-1200w.webp,medium,samara-joy-fort-mose-jazz-festival-performance-1200w.webp,1200,1500,"Samara Joy performing with orchestra at Fort Mose Jazz Festival in St. Augustine, Florida",95.6
2026_ FORT MOSE- SAMARA JOY-02.jpg,samara-joy-fort-mose-jazz-festival-performance-400w.webp,thumb,samara-joy-fort-mose-jazz-festival-performance-400w.webp,400,500,"Samara Joy performing with orchestra at Fort Mose Jazz Festival in St. Augustine, Florida",13.0
2026_ FORT MOSE- SAMARA JOY-05.jpg,samara-joy-fort-mose-jazz-festival-performance-2-1920w.webp,large,samara-joy-fort-mose-jazz-festival-performance-2-1920w.webp,1920,2400,"Samara Joy performing with live orchestra at Fort Mose Jazz Festival in St. Augustine, Florida",486.0
2026_ FORT MOSE- SAMARA JOY-05.jpg,samara-joy-fort-mose-jazz-festival-performance-2-1200w.webp,medium,samara-joy-fort-mose-jazz-festival-performance-2-1200w.webp,1200,1500,"Samara Joy performing with live orchestra at Fort Mose Jazz Festival in St. Augustine, Florida",144.3
2026_ FORT MOSE- SAMARA JOY-05.jpg,samara-joy-fort-mose-jazz-festival-performance-2-400w.webp,thumb,samara-joy-fort-mose-jazz-festival-performance-2-400w.webp,400,500,"Samara Joy performing with live orchestra at Fort Mose Jazz Festival in St. Augustine, Florida",18.5
2026_ FORT MOSE- SAMARA JOY-06.jpg,samara-joy-fort-mose-jazz-festival-performance-3-1920w.webp,large,samara-joy-fort-mose-jazz-festival-performance-3-1920w.webp,1920,2400,"Samara Joy performs on stage with live band at Fort Mose Jazz Festival in St. Augustine, Florida",553.5
2026_ FORT MOSE- SAMARA JOY-06.jpg,samara-joy-fort-mose-jazz-festival-performance-3-1200w.webp,medium,samara-joy-fort-mose-jazz-festival-performance-3-1200w.webp,1200,1500,"Samara Joy performs on stage with live band at Fort Mose Jazz Festival in St. Augustine, Florida",166.9
2026_ FORT MOSE- SAMARA JOY-06.jpg,samara-joy-fort-mose-jazz-festival-performance-3-400w.webp,thumb,samara-joy-fort-mose-jazz-festival-performance-3-400w.webp,400,500,"Samara Joy performs on stage with live band at Fort Mose Jazz Festival in St. Augustine, Florida",19.8
2026_ FORT MOSE_ CROWD-14.jpg,fort-mose-jazz-festival-audience-laughing-1920w.webp,large,fort-mose-jazz-festival-audience-laughing-1920w.webp,1920,1536,"Woman laughing enthusiastically while holding phone at Fort Mose Jazz Festival in St. Augustine, Florida",489.0
2026_ FORT MOSE_ CROWD-14.jpg,fort-mose-jazz-festival-audience-laughing-1200w.webp,medium,fort-mose-jazz-festival-audience-laughing-1200w.webp,1200,960,"Woman laughing enthusiastically while holding phone at Fort Mose Jazz Festival in St. Augustine, Florida",141.1
2026_ FORT MOSE_ CROWD-14.jpg,fort-mose-jazz-festival-audience-laughing-400w.webp,thumb,fort-mose-jazz-festival-audience-laughing-400w.webp,400,320,"Woman laughing enthusiastically while holding phone at Fort Mose Jazz Festival in St. Augustine, Florida",19.1
2026_ FORT MOSE_ CROWD-19.jpg,fort-mose-jazz-festival-performers-st-augustine-1920w.webp,large,fort-mose-jazz-festival-performers-st-augustine-1920w.webp,1920,2400,"Two smiling festival performers posing together at Fort Mose Jazz Festival in St. Augustine, Florida",771.8
2026_ FORT MOSE_ CROWD-19.jpg,fort-mose-jazz-festival-performers-st-augustine-1200w.webp,medium,fort-mose-jazz-festival-performers-st-augustine-1200w.webp,1200,1500,"Two smiling festival performers posing together at Fort Mose Jazz Festival in St. Augustine, Florida",242.0
2026_ FORT MOSE_ CROWD-19.jpg,fort-mose-jazz-festival-performers-st-augustine-400w.webp,thumb,fort-mose-jazz-festival-performers-st-augustine-400w.webp,400,500,"Two smiling festival performers posing together at Fort Mose Jazz Festival in St. Augustine, Florida",18.7
2026_ FORT MOSE_ DON WAS-04.jpg,don-was-fort-mose-jazz-festival-performance-1920w.webp,large,don-was-fort-mose-jazz-festival-performance-1920w.webp,1920,2399,"Don Was performing energetically at microphone during Fort Mose Jazz Festival in St. Augustine, Florida",666.0
2026_ FORT MOSE_ DON WAS-04.jpg,don-was-fort-mose-jazz-festival-performance-1200w.webp,medium,don-was-fort-mose-jazz-festival-performance-1200w.webp,1200,1499,"Don Was performing energetically at microphone during Fort Mose Jazz Festival in St. Augustine, Florida",194.9
2026_ FORT MOSE_ DON WAS-04.jpg,don-was-fort-mose-jazz-festival-performance-400w.webp,thumb,don-was-fort-mose-jazz-festival-performance-400w.webp,400,499,"Don Was performing energetically at microphone during Fort Mose Jazz Festival in St. Augustine, Florida",12.9
2026_ FORT MOSE_ DON WAS-11.jpg,don-was-bass-fort-mose-festival-1920w.webp,large,don-was-bass-fort-mose-festival-1920w.webp,1920,2400,"Don Was playing upright bass at Fort Mose Jazz Festival in St. Augustine, Florida",423.6
2026_ FORT MOSE_ DON WAS-11.jpg,don-was-bass-fort-mose-festival-1200w.webp,medium,don-was-bass-fort-mose-festival-1200w.webp,1200,1500,"Don Was playing upright bass at Fort Mose Jazz Festival in St. Augustine, Florida",107.0
2026_ FORT MOSE_ DON WAS-11.jpg,don-was-bass-fort-mose-festival-400w.webp,thumb,don-was-bass-fort-mose-festival-400w.webp,400,500,"Don Was playing upright bass at Fort Mose Jazz Festival in St. Augustine, Florida",17.4
2026_ FORT MOSE_ GARY CLARK JR-01.jpg,gary-clark-jr-fort-mose-jazz-festival-1920w.webp,large,gary-clark-jr-fort-mose-jazz-festival-1920w.webp,1920,2399,"Gary Clark Jr performs on stage at Fort Mose Jazz Festival in St. Augustine, Florida",817.1
2026_ FORT MOSE_ GARY CLARK JR-01.jpg,gary-clark-jr-fort-mose-jazz-festival-1200w.webp,medium,gary-clark-jr-fort-mose-jazz-festival-1200w.webp,1200,1499,"Gary Clark Jr performs on stage at Fort Mose Jazz Festival in St. Augustine, Florida",255.0
2026_ FORT MOSE_ GARY CLARK JR-01.jpg,gary-clark-jr-fort-mose-jazz-festival-400w.webp,thumb,gary-clark-jr-fort-mose-jazz-festival-400w.webp,400,499,"Gary Clark Jr performs on stage at Fort Mose Jazz Festival in St. Augustine, Florida",11.5
2026_ FORT MOSE_ GARY CLARK JR-03.jpg,gary-clark-jr-fort-mose-jazz-festival-performance-1920w.webp,large,gary-clark-jr-fort-mose-jazz-festival-performance-1920w.webp,1920,2400,"Gary Clark Jr performing on stage with guitar at outdoor festival in St. Augustine, Florida",736.7
2026_ FORT MOSE_ GARY CLARK JR-03.jpg,gary-clark-jr-fort-mose-jazz-festival-performance-1200w.webp,medium,gary-clark-jr-fort-mose-jazz-festival-performance-1200w.webp,1200,1500,"Gary Clark Jr performing on stage with guitar at outdoor festival in St. Augustine, Florida",225.5
2026_ FORT MOSE_ GARY CLARK JR-03.jpg,gary-clark-jr-fort-mose-jazz-festival-performance-400w.webp,thumb,gary-clark-jr-fort-mose-jazz-festival-performance-400w.webp,400,500,"Gary Clark Jr performing on stage with guitar at outdoor festival in St. Augustine, Florida",26.4
2026_ FORT MOSE_ GARY CLARK JR-07.jpg,gary-clark-jr-fort-mose-jazz-festival-2-1920w.webp,large,gary-clark-jr-fort-mose-jazz-festival-2-1920w.webp,1920,2400,"Gary Clark Jr performing with guitar and hat under stage lights in St. Augustine, Florida",588.9
2026_ FORT MOSE_ GARY CLARK JR-07.jpg,gary-clark-jr-fort-mose-jazz-festival-2-1200w.webp,medium,gary-clark-jr-fort-mose-jazz-festival-2-1200w.webp,1200,1500,"Gary Clark Jr performing with guitar and hat under stage lights in St. Augustine, Florida",145.0
2026_ FORT MOSE_ GARY CLARK JR-07.jpg,gary-clark-jr-fort-mose-jazz-festival-2-400w.webp,thumb,gary-clark-jr-fort-mose-jazz-festival-2-400w.webp,400,500,"Gary Clark Jr performing with guitar and hat under stage lights in St. Augustine, Florida",7.4
2026_ FORT MOSE_ GARY CLARK JR-08.jpg,gary-clark-jr-fort-mose-jazz-festival-3-1920w.webp,large,gary-clark-jr-fort-mose-jazz-festival-3-1920w.webp,1920,2400,"Gary Clark Jr performing on stage with band at Fort Mose Jazz Festival in St. Augustine, Florida",827.1
2026_ FORT MOSE_ GARY CLARK JR-08.jpg,gary-clark-jr-fort-mose-jazz-festival-3-1200w.webp,medium,gary-clark-jr-fort-mose-jazz-festival-3-1200w.webp,1200,1500,"Gary Clark Jr performing on stage with band at Fort Mose Jazz Festival in St. Augustine, Florida",222.3
2026_ FORT MOSE_ GARY CLARK JR-08.jpg,gary-clark-jr-fort-mose-jazz-festival-3-400w.webp,thumb,gary-clark-jr-fort-mose-jazz-festival-3-400w.webp,400,500,"Gary Clark Jr performing on stage with band at Fort Mose Jazz Festival in St. Augustine, Florida",21.2
2026_ FORT MOSE_ GARY CLARK JR-10.jpg,fort-mose-jazz-festival-audience-st-augustine-1920w.webp,large,fort-mose-jazz-festival-audience-st-augustine-1920w.webp,1920,1536,"Audience members smiling and enjoying Fort Mose Jazz Blues Festival in St. Augustine, Florida",486.5
2026_ FORT MOSE_ GARY CLARK JR-10.jpg,fort-mose-jazz-festival-audience-st-augustine-1200w.webp,medium,fort-mose-jazz-festival-audience-st-augustine-1200w.webp,1200,960,"Audience members smiling and enjoying Fort Mose Jazz Blues Festival in St. Augustine, Florida",123.1
2026_ FORT MOSE_ GARY CLARK JR-10.jpg,fort-mose-jazz-festival-audience-st-augustine-400w.webp,thumb,fort-mose-jazz-festival-audience-st-augustine-400w.webp,400,320,"Audience members smiling and enjoying Fort Mose Jazz Blues Festival in St. Augustine, Florida",8.9
2026_ FORT MOSE_ GARY CLARK JR-15.jpg,dionysus-band-fort-mose-jazz-festival-performance-1920w.webp,large,dionysus-band-fort-mose-jazz-festival-performance-1920w.webp,1920,1536,"Dionysus band performing on illuminated stage with colorful lighting in St. Augustine, Florida",360.8
2026_ FORT MOSE_ GARY CLARK JR-15.jpg,dionysus-band-fort-mose-jazz-festival-performance-1200w.webp,medium,dionysus-band-fort-mose-jazz-festival-performance-1200w.webp,1200,960,"Dionysus band performing on illuminated stage with colorful lighting in St. Augustine, Florida",115.7
2026_ FORT MOSE_ GARY CLARK JR-15.jpg,dionysus-band-fort-mose-jazz-festival-performance-400w.webp,thumb,dionysus-band-fort-mose-jazz-festival-performance-400w.webp,400,320,"Dionysus band performing on illuminated stage with colorful lighting in St. Augustine, Florida",16.7
2026_ FORT MOSE_ LEDISI-02.jpg,ledisi-fort-mose-jazz-festival-performance-st-augustine-1920w.webp,large,ledisi-fort-mose-jazz-festival-performance-st-augustine-1920w.webp,1920,2400,"Ledisi performing energetically on stage with arms outstretched at Fort Mose Jazz Festival in St. Augustine, Florida",436.2
2026_ FORT MOSE_ LEDISI-02.jpg,ledisi-fort-mose-jazz-festival-performance-st-augustine-1200w.webp,medium,ledisi-fort-mose-jazz-festival-performance-st-augustine-1200w.webp,1200,1500,"Ledisi performing energetically on stage with arms outstretched at Fort Mose Jazz Festival in St. Augustine, Florida",140.2
2026_ FORT MOSE_ LEDISI-02.jpg,ledisi-fort-mose-jazz-festival-performance-st-augustine-400w.webp,thumb,ledisi-fort-mose-jazz-festival-performance-st-augustine-400w.webp,400,500,"Ledisi performing energetically on stage with arms outstretched at Fort Mose Jazz Festival in St. Augustine, Florida",20.6
2026_ FORT MOSE_ LEDISI-08.jpg,man-dining-st-augustine-restaurant-1920w.webp,large,man-dining-st-augustine-restaurant-1920w.webp,1920,2400,"Man with glasses smiling at restaurant table with drinks in St. Augustine, Florida",667.2
2026_ FORT MOSE_ LEDISI-08.jpg,man-dining-st-augustine-restaurant-1200w.webp,medium,man-dining-st-augustine-restaurant-1200w.webp,1200,1500,"Man with glasses smiling at restaurant table with drinks in St. Augustine, Florida",179.7
2026_ FORT MOSE_ LEDISI-08.jpg,man-dining-st-augustine-restaurant-400w.webp,thumb,man-dining-st-augustine-restaurant-400w.webp,400,500,"Man with glasses smiling at restaurant table with drinks in St. Augustine, Florida",17.8
2026_ FORT MOSE_ LEDISI-15.jpg,fort-mose-jazz-festival-drummer-performance-1920w.webp,large,fort-mose-jazz-festival-drummer-performance-1920w.webp,1920,2399,"Drummer with long dreadlocks and sunglasses performing behind drum kit in St. Augustine, Florida",623.8
2026_ FORT MOSE_ LEDISI-15.jpg,fort-mose-jazz-festival-drummer-performance-1200w.webp,medium,fort-mose-jazz-festival-drummer-performance-1200w.webp,1200,1499,"Drummer with long dreadlocks and sunglasses performing behind drum kit in St. Augustine, Florida",257.3
2026_ FORT MOSE_ LEDISI-15.jpg,fort-mose-jazz-festival-drummer-performance-400w.webp,thumb,fort-mose-jazz-festival-drummer-performance-400w.webp,400,499,"Drummer with long dreadlocks and sunglasses performing behind drum kit in St. Augustine, Florida",32.0
2026_ FORT MOSE_ LEDISI-18.jpg,fort-mose-jazz-festival-trumpet-performance-1920w.webp,large,fort-mose-jazz-festival-trumpet-performance-1920w.webp,1920,2400,"Musician playing trumpet on stage with blue lighting at Fort Mose Jazz Festival in St. Augustine, Florida",510.9
2026_ FORT MOSE_ LEDISI-18.jpg,fort-mose-jazz-festival-trumpet-performance-1200w.webp,medium,fort-mose-jazz-festival-trumpet-performance-1200w.webp,1200,1500,"Musician playing trumpet on stage with blue lighting at Fort Mose Jazz Festival in St. Augustine, Florida",177.9
2026_ FORT MOSE_ LEDISI-18.jpg,fort-mose-jazz-festival-trumpet-performance-400w.webp,thumb,fort-mose-jazz-festival-trumpet-performance-400w.webp,400,500,"Musician playing trumpet on stage with blue lighting at Fort Mose Jazz Festival in St. Augustine, Florida",22.8
2026_ FORT MOSE_ LEDISI-20.jpg,fort-mose-jazz-festival-stage-performance-1920w.webp,large,fort-mose-jazz-festival-stage-performance-1920w.webp,1920,1536,"Band performs on stage with colorful lighting at Fort Mose Jazz Festival in St. Augustine, Florida",417.3
2026_ FORT MOSE_ LEDISI-20.jpg,fort-mose-jazz-festival-stage-performance-1200w.webp,medium,fort-mose-jazz-festival-stage-performance-1200w.webp,1200,960,"Band performs on stage with colorful lighting at Fort Mose Jazz Festival in St. Augustine, Florida",142.9
2026_ FORT MOSE_ LEDISI-20.jpg,fort-mose-jazz-festival-stage-performance-400w.webp,thumb,fort-mose-jazz-festival-stage-performance-400w.webp,400,320,"Band performs on stage with colorful lighting at Fort Mose Jazz Festival in St. Augustine, Florida",18.8
2026_ FORT MOSE_ Robert Cray Ruthie Foster-13.jpg,fort-mose-jazz-festival-guitar-performance-1920w.webp,large,fort-mose-jazz-festival-guitar-performance-1920w.webp,1920,2399,"Musician performing with electric guitar against vibrant nebula backdrop in St. Augustine, Florida",702.4
2026_ FORT MOSE_ Robert Cray Ruthie Foster-13.jpg,fort-mose-jazz-festival-guitar-performance-1200w.webp,medium,fort-mose-jazz-festival-guitar-performance-1200w.webp,1200,1499,"Musician performing with electric guitar against vibrant nebula backdrop in St. Augustine, Florida",222.4
2026_ FORT MOSE_ Robert Cray Ruthie Foster-13.jpg,fort-mose-jazz-festival-guitar-performance-400w.webp,thumb,fort-mose-jazz-festival-guitar-performance-400w.webp,400,499,"Musician performing with electric guitar against vibrant nebula backdrop in St. Augustine, Florida",28.8
2026_ FORT MOSE_ Robert Cray Ruthie Foster-17.jpg,ruthie-foster-fort-mose-jazz-festival-performance-1920w.webp,large,ruthie-foster-fort-mose-jazz-festival-performance-1920w.webp,1920,2400,"Ruthie Foster performing with guitar and microphone at Fort Mose Jazz Festival in St. Augustine, Florida",438.2
2026_ FORT MOSE_ Robert Cray Ruthie Foster-17.jpg,ruthie-foster-fort-mose-jazz-festival-performance-1200w.webp,medium,ruthie-foster-fort-mose-jazz-festival-performance-1200w.webp,1200,1500,"Ruthie Foster performing with guitar and microphone at Fort Mose Jazz Festival in St. Augustine, Florida",120.7
2026_ FORT MOSE_ Robert Cray Ruthie Foster-17.jpg,ruthie-foster-fort-mose-jazz-festival-performance-400w.webp,thumb,ruthie-foster-fort-mose-jazz-festival-performance-400w.webp,400,500,"Ruthie Foster performing with guitar and microphone at Fort Mose Jazz Festival in St. Augustine, Florida",14.8
2026_ FORT MOSE_ Robert Cray Ruthie Foster-7.jpg,fort-mose-jazz-festival-crowd-stage-1920w.webp,large,fort-mose-jazz-festival-crowd-stage-1920w.webp,1920,1535,"Large crowd gathered at illuminated outdoor concert stage with purple lighting in St. Augustine, Florida",733.3
2026_ FORT MOSE_ Robert Cray Ruthie Foster-7.jpg,fort-mose-jazz-festival-crowd-stage-1200w.webp,medium,fort-mose-jazz-festival-crowd-stage-1200w.webp,1200,959,"Large crowd gathered at illuminated outdoor concert stage with purple lighting in St. Augustine, Florida",227.1
2026_ FORT MOSE_ Robert Cray Ruthie Foster-7.jpg,fort-mose-jazz-festival-crowd-stage-400w.webp,thumb,fort-mose-jazz-festival-crowd-stage-400w.webp,400,319,"Large crowd gathered at illuminated outdoor concert stage with purple lighting in St. Augustine, Florida",20.5
2026_ FORT MOSE_ Robert Cray Ruthie Foster-9.jpg,robert-cray-fort-mose-jazz-festival-1920w.webp,large,robert-cray-fort-mose-jazz-festival-1920w.webp,1920,2400,"Robert Cray performing with electric guitar and microphone on stage in St. Augustine, Florida",593.7
2026_ FORT MOSE_ Robert Cray Ruthie Foster-9.jpg,robert-cray-fort-mose-jazz-festival-1200w.webp,medium,robert-cray-fort-mose-jazz-festival-1200w.webp,1200,1500,"Robert Cray performing with electric guitar and microphone on stage in St. Augustine, Florida",160.7
2026_ FORT MOSE_ Robert Cray Ruthie Foster-9.jpg,robert-cray-fort-mose-jazz-festival-400w.webp,thumb,robert-cray-fort-mose-jazz-festival-400w.webp,400,500,"Robert Cray performing with electric guitar and microphone on stage in St. Augustine, Florida",13.7
2026_ FORT MOSE_ THE GILMORE QUANDRY-07.jpg,gilmore-quandry-fort-mose-jazz-festival-performance-1920w.webp,large,gilmore-quandry-fort-mose-jazz-festival-performance-1920w.webp,1920,2399,"Gilmore Quandry performing live on stage with dramatic blue lighting in St. Augustine, Florida",719.7
2026_ FORT MOSE_ THE GILMORE QUANDRY-07.jpg,gilmore-quandry-fort-mose-jazz-festival-performance-1200w.webp,medium,gilmore-quandry-fort-mose-jazz-festival-performance-1200w.webp,1200,1499,"Gilmore Quandry performing live on stage with dramatic blue lighting in St. Augustine, Florida",228.2
2026_ FORT MOSE_ THE GILMORE QUANDRY-07.jpg,gilmore-quandry-fort-mose-jazz-festival-performance-400w.webp,thumb,gilmore-quandry-fort-mose-jazz-festival-performance-400w.webp,400,499,"Gilmore Quandry performing live on stage with dramatic blue lighting in St. Augustine, Florida",23.7
2026_ FORT MOSE_ THE GILMORE QUANDRY-08.jpg,gilmore-quandry-fort-mose-jazz-festival-performance-2-1920w.webp,large,gilmore-quandry-fort-mose-jazz-festival-performance-2-1920w.webp,1920,1536,"Gilmore Quandry band performing on stage with dramatic blue and green lighting in St. Augustine, Florida",765.4
2026_ FORT MOSE_ THE GILMORE QUANDRY-08.jpg,gilmore-quandry-fort-mose-jazz-festival-performance-2-1200w.webp,medium,gilmore-quandry-fort-mose-jazz-festival-performance-2-1200w.webp,1200,960,"Gilmore Quandry band performing on stage with dramatic blue and green lighting in St. Augustine, Florida",262.1
2026_ FORT MOSE_ THE GILMORE QUANDRY-08.jpg,gilmore-quandry-fort-mose-jazz-festival-performance-2-400w.webp,thumb,gilmore-quandry-fort-mose-jazz-festival-performance-2-400w.webp,400,320,"Gilmore Quandry band performing on stage with dramatic blue and green lighting in St. Augustine, Florida",27.6
2026_ FORT MOSE_CROWD-NIGHT 508.jpg,fort-mose-festival-poster-wall-visitors-1920w.webp,large,fort-mose-festival-poster-wall-visitors-1920w.webp,1920,1536,"Two people viewing colorful poster wall display at cultural venue in St. Augustine, Florida",416.2
2026_ FORT MOSE_CROWD-NIGHT 508.jpg,fort-mose-festival-poster-wall-visitors-1200w.webp,medium,fort-mose-festival-poster-wall-visitors-1200w.webp,1200,960,"Two people viewing colorful poster wall display at cultural venue in St. Augustine, Florida",115.4
2026_ FORT MOSE_CROWD-NIGHT 508.jpg,fort-mose-festival-poster-wall-visitors-400w.webp,thumb,fort-mose-festival-poster-wall-visitors-400w.webp,400,320,"Two people viewing colorful poster wall display at cultural venue in St. Augustine, Florida",20.2
2026_ FORT MOSE_CROWD-NIGHT 512.jpg,fort-mose-historical-interpreter-festival-attendees-1920w.webp,large,fort-mose-historical-interpreter-festival-attendees-1920w.webp,1920,1536,"Historical interpreter in colonial costume speaks with festival attendees in St. Augustine, Florida",347.3
2026_ FORT MOSE_CROWD-NIGHT 512.jpg,fort-mose-historical-interpreter-festival-attendees-1200w.webp,medium,fort-mose-historical-interpreter-festival-attendees-1200w.webp,1200,960,"Historical interpreter in colonial costume speaks with festival attendees in St. Augustine, Florida",78.6
2026_ FORT MOSE_CROWD-NIGHT 512.jpg,fort-mose-historical-interpreter-festival-attendees-400w.webp,thumb,fort-mose-historical-interpreter-festival-attendees-400w.webp,400,320,"Historical interpreter in colonial costume speaks with festival attendees in St. Augustine, Florida",9.6
