original,filename,size,path,width,height,alt,file_size_kb
2025_SOL_DAY 2_ SOMBR_02.jpg,sing-out-loud-festival-francis-field-performance-400w.webp,thumb,sing-out-loud-festival-francis-field-performance-400w.webp,400,500,"Rock band performing on stage with dramatic lighting and crowd at Francis Field in St. Augustine, Florida",37.3
2025_SOL_DAY 2_ SOMBR_04.jpg,sing-out-loud-performer-francis-field-1920w.webp,large,sing-out-loud-performer-francis-field-1920w.webp,1080,1350,"Energetic performer singing with microphone and pointing skyward during live concert at Francis Field in St. Augustine, Florida",95.9
2025_SOL_DAY 2_ SOMBR_04.jpg,sing-out-loud-performer-francis-field-1200w.webp,medium,sing-out-loud-performer-francis-field-1200w.webp,1080,1350,"Energetic performer singing with microphone and pointing skyward during live concert at Francis Field in St. Augustine, Florida",95.9
2025_SOL_DAY 2_ SOMBR_04.jpg,sing-out-loud-performer-francis-field-400w.webp,thumb,sing-out-loud-performer-francis-field-400w.webp,400,500,"Energetic performer singing with microphone and pointing skyward during live concert at Francis Field in St. Augustine, Florida",17.4
2025_SOL_DAY 2_ SOMBR_05.jpg,sing-out-loud-performer-francis-field-2-1920w.webp,large,sing-out-loud-performer-francis-field-2-1920w.webp,1080,1350,"Male performer singing into microphone on illuminated concert stage at Francis Field in St. Augustine, Florida",299.7
2025_SOL_DAY 2_ SOMBR_05.jpg,sing-out-loud-performer-francis-field-2-1200w.webp,medium,sing-out-loud-performer-francis-field-2-1200w.webp,1080,1350,"Male performer singing into microphone on illuminated concert stage at Francis Field in St. Augustine, Florida",299.7
2025_SOL_DAY 2_ SOMBR_05.jpg,sing-out-loud-performer-francis-field-2-400w.webp,thumb,sing-out-loud-performer-francis-field-2-400w.webp,400,500,"Male performer singing into microphone on illuminated concert stage at Francis Field in St. Augustine, Florida",24.9
2025_SOL_DAY 2_ SOMBR_08.jpg,sing-out-loud-festival-crowd-francis-field-2-1920w.webp,large,sing-out-loud-festival-crowd-francis-field-2-1920w.webp,1080,864,"Excited festival crowd with raised hands cheering and celebrating at Francis Field in St. Augustine, Florida",76.2
2025_SOL_DAY 2_ SOMBR_08.jpg,sing-out-loud-festival-crowd-francis-field-2-1200w.webp,medium,sing-out-loud-festival-crowd-francis-field-2-1200w.webp,1080,864,"Excited festival crowd with raised hands cheering and celebrating at Francis Field in St. Augustine, Florida",76.2
2025_SOL_DAY 2_ SOMBR_08.jpg,sing-out-loud-festival-crowd-francis-field-2-400w.webp,thumb,sing-out-loud-festival-crowd-francis-field-2-400w.webp,400,320,"Excited festival crowd with raised hands cheering and celebrating at Francis Field in St. Augustine, Florida",20.2
2025_SOL_DAY 2_ SOMBR_09.jpg,sing-out-loud-festival-performer-francis-field-1920w.webp,large,sing-out-loud-festival-performer-francis-field-1920w.webp,1080,1350,"Young male performer singing into microphone on stage at Francis Field in St. Augustine, Florida",172.1
2025_SOL_DAY 2_ SOMBR_09.jpg,sing-out-loud-festival-performer-francis-field-1200w.webp,medium,sing-out-loud-festival-performer-francis-field-1200w.webp,1080,1350,"Young male performer singing into microphone on stage at Francis Field in St. Augustine, Florida",172.1
2025_SOL_DAY 2_ SOMBR_09.jpg,sing-out-loud-festival-performer-francis-field-400w.webp,thumb,sing-out-loud-festival-performer-francis-field-400w.webp,400,500,"Young male performer singing into microphone on stage at Francis Field in St. Augustine, Florida",27.8
2025_SOL_DAY 2_ SOMBR_11.jpg,sing-out-loud-festival-performer-francis-field-2-1920w.webp,large,sing-out-loud-festival-performer-francis-field-2-1920w.webp,1080,1350,"Performer singing passionately into microphone under bright stage lights at Francis Field in St. Augustine, Florida",343.6
2025_SOL_DAY 2_ SOMBR_11.jpg,sing-out-loud-festival-performer-francis-field-2-1200w.webp,medium,sing-out-loud-festival-performer-francis-field-2-1200w.webp,1080,1350,"Performer singing passionately into microphone under bright stage lights at Francis Field in St. Augustine, Florida",343.6
2025_SOL_DAY 2_ SOMBR_11.jpg,sing-out-loud-festival-performer-francis-field-2-400w.webp,thumb,sing-out-loud-festival-performer-francis-field-2-400w.webp,400,500,"Performer singing passionately into microphone under bright stage lights at Francis Field in St. Augustine, Florida",27.3
2025_SOL_DAY 2_ SOMBR_15.jpg,singer-performing-francis-field-festival-1920w.webp,large,singer-performing-francis-field-festival-1920w.webp,1080,1350,"Singer performing on stage with microphone pointing to crowd at Francis Field in St. Augustine, Florida",246.0
2025_SOL_DAY 2_ SOMBR_15.jpg,singer-performing-francis-field-festival-1200w.webp,medium,singer-performing-francis-field-festival-1200w.webp,1080,1350,"Singer performing on stage with microphone pointing to crowd at Francis Field in St. Augustine, Florida",246.0
2025_SOL_DAY 2_ SOMBR_15.jpg,singer-performing-francis-field-festival-400w.webp,thumb,singer-performing-francis-field-festival-400w.webp,400,500,"Singer performing on stage with microphone pointing to crowd at Francis Field in St. Augustine, Florida",31.0
2025_SOL_DAY 2_ SOMBR_18.jpg,sing-out-loud-performer-francis-field-3-1920w.webp,large,sing-out-loud-performer-francis-field-3-1920w.webp,1080,1350,"Lead singer performing on stage with dramatic lighting effects at Francis Field in St. Augustine, Florida",228.1
2025_SOL_DAY 2_ SOMBR_18.jpg,sing-out-loud-performer-francis-field-3-1200w.webp,medium,sing-out-loud-performer-francis-field-3-1200w.webp,1080,1350,"Lead singer performing on stage with dramatic lighting effects at Francis Field in St. Augustine, Florida",228.1
2025_SOL_DAY 2_ SOMBR_18.jpg,sing-out-loud-performer-francis-field-3-400w.webp,thumb,sing-out-loud-performer-francis-field-3-400w.webp,400,500,"Lead singer performing on stage with dramatic lighting effects at Francis Field in St. Augustine, Florida",28.6
2025_SOL_DAY 2_ SOMBR_20.jpg,sing-out-loud-festival-stage-performance-1920w.webp,large,sing-out-loud-festival-stage-performance-1920w.webp,1080,1350,"Band performing on outdoor festival stage with lighting rig at Francis Field in St. Augustine, Florida",245.4
2025_SOL_DAY 2_ SOMBR_20.jpg,sing-out-loud-festival-stage-performance-1200w.webp,medium,sing-out-loud-festival-stage-performance-1200w.webp,1080,1350,"Band performing on outdoor festival stage with lighting rig at Francis Field in St. Augustine, Florida",245.4
2025_SOL_DAY 2_ SOMBR_20.jpg,sing-out-loud-festival-stage-performance-400w.webp,thumb,sing-out-loud-festival-stage-performance-400w.webp,400,500,"Band performing on outdoor festival stage with lighting rig at Francis Field in St. Augustine, Florida",39.2
2025_SOL_DAY _ DAVID KUSHNER4.jpg,dai-kushner-stage-performance-francis-field-1920w.webp,large,dai-kushner-stage-performance-francis-field-1920w.webp,1080,1350,"Performer on stage with dramatic lighting and band name backdrop at Francis Field in St. Augustine, Florida",189.4
2025_SOL_DAY _ DAVID KUSHNER4.jpg,dai-kushner-stage-performance-francis-field-1200w.webp,medium,dai-kushner-stage-performance-francis-field-1200w.webp,1080,1350,"Performer on stage with dramatic lighting and band name backdrop at Francis Field in St. Augustine, Florida",189.4
2025_SOL_DAY _ DAVID KUSHNER4.jpg,dai-kushner-stage-performance-francis-field-400w.webp,thumb,dai-kushner-stage-performance-francis-field-400w.webp,400,500,"Performer on stage with dramatic lighting and band name backdrop at Francis Field in St. Augustine, Florida",40.0
2025_SOL_DAY _ DAVID KUSHNER7.jpg,dave-kushner-live-performance-francis-field-1920w.webp,large,dave-kushner-live-performance-francis-field-1920w.webp,1080,1350,"Male performer singing on stage with dramatic lighting and backdrop at Francis Field in St. Augustine, Florida",204.9
2025_SOL_DAY _ DAVID KUSHNER7.jpg,dave-kushner-live-performance-francis-field-1200w.webp,medium,dave-kushner-live-performance-francis-field-1200w.webp,1080,1350,"Male performer singing on stage with dramatic lighting and backdrop at Francis Field in St. Augustine, Florida",204.9
2025_SOL_DAY _ DAVID KUSHNER7.jpg,dave-kushner-live-performance-francis-field-400w.webp,thumb,dave-kushner-live-performance-francis-field-400w.webp,400,500,"Male performer singing on stage with dramatic lighting and backdrop at Francis Field in St. Augustine, Florida",45.1
2025_SOL_DAY _ FATHER JOHN MISTY0.jpg,sing-out-loud-festival-performer-francis-field-3-1920w.webp,large,sing-out-loud-festival-performer-francis-field-3-1920w.webp,1080,1350,"Bearded performer in suit singing on stage with red lighting at Francis Field in St. Augustine, Florida",132.9
2025_SOL_DAY _ FATHER JOHN MISTY0.jpg,sing-out-loud-festival-performer-francis-field-3-1200w.webp,medium,sing-out-loud-festival-performer-francis-field-3-1200w.webp,1080,1350,"Bearded performer in suit singing on stage with red lighting at Francis Field in St. Augustine, Florida",132.9
2025_SOL_DAY _ FATHER JOHN MISTY0.jpg,sing-out-loud-festival-performer-francis-field-3-400w.webp,thumb,sing-out-loud-festival-performer-francis-field-3-400w.webp,400,500,"Bearded performer in suit singing on stage with red lighting at Francis Field in St. Augustine, Florida",38.6
2025_SOL_DAY _ FATHER JOHN MISTY2.jpg,sing-out-loud-performer-francis-field-4-1920w.webp,large,sing-out-loud-performer-francis-field-4-1920w.webp,1080,1350,"Bearded performer in suit pointing upward on illuminated concert stage at Francis Field in St. Augustine, Florida",147.1
2025_SOL_DAY _ FATHER JOHN MISTY2.jpg,sing-out-loud-performer-francis-field-4-1200w.webp,medium,sing-out-loud-performer-francis-field-4-1200w.webp,1080,1350,"Bearded performer in suit pointing upward on illuminated concert stage at Francis Field in St. Augustine, Florida",147.1
2025_SOL_DAY _ FATHER JOHN MISTY2.jpg,sing-out-loud-performer-francis-field-4-400w.webp,thumb,sing-out-loud-performer-francis-field-4-400w.webp,400,500,"Bearded performer in suit pointing upward on illuminated concert stage at Francis Field in St. Augustine, Florida",39.6
2025_SOL_DAY _ FATHER JOHN MISTY4.jpg,lead-singer-performance-francis-field-festival-1920w.webp,large,lead-singer-performance-francis-field-festival-1920w.webp,1080,1350,"Energetic lead singer performing on stage with full band at Francis Field in St. Augustine, Florida",325.3
2025_SOL_DAY _ FATHER JOHN MISTY4.jpg,lead-singer-performance-francis-field-festival-1200w.webp,medium,lead-singer-performance-francis-field-festival-1200w.webp,1080,1350,"Energetic lead singer performing on stage with full band at Francis Field in St. Augustine, Florida",325.3
2025_SOL_DAY _ FATHER JOHN MISTY4.jpg,lead-singer-performance-francis-field-festival-400w.webp,thumb,lead-singer-performance-francis-field-festival-400w.webp,400,500,"Energetic lead singer performing on stage with full band at Francis Field in St. Augustine, Florida",50.2
2025_SOL_DAY _ SARAH KINSLEY1.jpg,sing-out-loud-festival-francis-field-performance-2-1920w.webp,large,sing-out-loud-festival-francis-field-performance-2-1920w.webp,1080,1350,"Female singer in red dress performing on stage with blue lighting at Francis Field in St. Augustine, Florida",267.4
2025_SOL_DAY _ SARAH KINSLEY1.jpg,sing-out-loud-festival-francis-field-performance-2-1200w.webp,medium,sing-out-loud-festival-francis-field-performance-2-1200w.webp,1080,1350,"Female singer in red dress performing on stage with blue lighting at Francis Field in St. Augustine, Florida",267.4
2025_SOL_DAY _ SARAH KINSLEY1.jpg,sing-out-loud-festival-francis-field-performance-2-400w.webp,thumb,sing-out-loud-festival-francis-field-performance-2-400w.webp,400,500,"Female singer in red dress performing on stage with blue lighting at Francis Field in St. Augustine, Florida",42.4
2025_SOL_DAY _ SARAH KINSLEY6.jpg,sing-out-loud-vocalist-francis-field-1920w.webp,large,sing-out-loud-vocalist-francis-field-1920w.webp,1920,2400,"Female vocalist performing energetically in pink dress with microphone raised at Francis Field in St. Augustine, Florida",137.0
2025_SOL_DAY _ SARAH KINSLEY6.jpg,sing-out-loud-vocalist-francis-field-1200w.webp,medium,sing-out-loud-vocalist-francis-field-1200w.webp,1200,1500,"Female vocalist performing energetically in pink dress with microphone raised at Francis Field in St. Augustine, Florida",72.0
2025_SOL_DAY _ SARAH KINSLEY6.jpg,sing-out-loud-vocalist-francis-field-400w.webp,thumb,sing-out-loud-vocalist-francis-field-400w.webp,400,500,"Female vocalist performing energetically in pink dress with microphone raised at Francis Field in St. Augustine, Florida",18.7
2025_SOL_DAY _ VANCE JOY3.jpg,sing-out-loud-festival-francis-field-performance-3-1920w.webp,large,sing-out-loud-festival-francis-field-performance-3-1920w.webp,1080,1350,"Musicians performing on stage with dramatic lighting and crowd below at Francis Field in St. Augustine, Florida",299.7
2025_SOL_DAY _ VANCE JOY3.jpg,sing-out-loud-festival-francis-field-performance-3-1200w.webp,medium,sing-out-loud-festival-francis-field-performance-3-1200w.webp,1080,1350,"Musicians performing on stage with dramatic lighting and crowd below at Francis Field in St. Augustine, Florida",299.7
2025_SOL_DAY _ VANCE JOY3.jpg,sing-out-loud-festival-francis-field-performance-3-400w.webp,thumb,sing-out-loud-festival-francis-field-performance-3-400w.webp,400,500,"Musicians performing on stage with dramatic lighting and crowd below at Francis Field in St. Augustine, Florida",55.7
2025_SOL_DAY _ VANCE JOY4.jpg,musician-guitar-stage-lighting-francis-field-1920w.webp,large,musician-guitar-stage-lighting-francis-field-1920w.webp,1080,1350,"Musician performing with guitar under dramatic star-shaped stage lighting at Francis Field in St. Augustine, Florida",150.9
2025_SOL_DAY _ VANCE JOY4.jpg,musician-guitar-stage-lighting-francis-field-1200w.webp,medium,musician-guitar-stage-lighting-francis-field-1200w.webp,1080,1350,"Musician performing with guitar under dramatic star-shaped stage lighting at Francis Field in St. Augustine, Florida",150.9
2025_SOL_DAY _ VANCE JOY4.jpg,musician-guitar-stage-lighting-francis-field-400w.webp,thumb,musician-guitar-stage-lighting-francis-field-400w.webp,400,500,"Musician performing with guitar under dramatic star-shaped stage lighting at Francis Field in St. Augustine, Florida",14.1
